Library,month,issues
http://datadock.io/kal/data/id/resource/library/Denton Burn,2010-03,5861
http://datadock.io/kal/data/id/resource/library/Denton Burn,2010-04,4617
http://datadock.io/kal/data/id/resource/library/Denton Burn,2010-05,3522
http://datadock.io/kal/data/id/resource/library/Denton Burn,2010-06,4288
http://datadock.io/kal/data/id/resource/library/Denton Burn,2010-07,4544
http://datadock.io/kal/data/id/resource/library/Denton Burn,2010-08,4215
http://datadock.io/kal/data/id/resource/library/Denton Burn,2010-09,4826
http://datadock.io/kal/data/id/resource/library/Denton Burn,2010-10,4822
http://datadock.io/kal/data/id/resource/library/Denton Burn,2010-11,3385
http://datadock.io/kal/data/id/resource/library/Denton Burn,2010-12,3384
http://datadock.io/kal/data/id/resource/library/Denton Burn,2011-01,4955
http://datadock.io/kal/data/id/resource/library/Denton Burn,2011-02,6143
http://datadock.io/kal/data/id/resource/library/Denton Burn,2011-03,4805
http://datadock.io/kal/data/id/resource/library/Denton Burn,2011-04,3573
http://datadock.io/kal/data/id/resource/library/Denton Burn,2011-05,3825
http://datadock.io/kal/data/id/resource/library/Denton Burn,2011-06,3319
http://datadock.io/kal/data/id/resource/library/Denton Burn,2011-07,3235
http://datadock.io/kal/data/id/resource/library/Denton Burn,2011-08,3492
http://datadock.io/kal/data/id/resource/library/Denton Burn,2011-09,3208
http://datadock.io/kal/data/id/resource/library/Denton Burn,2011-10,3393
http://datadock.io/kal/data/id/resource/library/Denton Burn,2011-11,3248
http://datadock.io/kal/data/id/resource/library/Denton Burn,2011-12,2315
http://datadock.io/kal/data/id/resource/library/Denton Burn,2012-01,3076
http://datadock.io/kal/data/id/resource/library/Denton Burn,2012-02,2874
http://datadock.io/kal/data/id/resource/library/Denton Burn,2012-03,2962
http://datadock.io/kal/data/id/resource/library/Denton Burn,2012-04,2469
http://datadock.io/kal/data/id/resource/library/Denton Burn,2012-05,2631
http://datadock.io/kal/data/id/resource/library/Denton Burn,2012-06,2616
http://datadock.io/kal/data/id/resource/library/Denton Burn,2012-07,3098
http://datadock.io/kal/data/id/resource/library/Denton Burn,2012-08,3046
http://datadock.io/kal/data/id/resource/library/Denton Burn,2012-09,2617
http://datadock.io/kal/data/id/resource/library/Denton Burn,2012-10,2657
http://datadock.io/kal/data/id/resource/library/Denton Burn,2012-11,2565
http://datadock.io/kal/data/id/resource/library/Denton Burn,2012-12,1562
http://datadock.io/kal/data/id/resource/library/Denton Burn,2013-01,2296
http://datadock.io/kal/data/id/resource/library/Denton Burn,2013-02,2257
http://datadock.io/kal/data/id/resource/library/Denton Burn,2013-03,2390
http://datadock.io/kal/data/id/resource/library/Denton Burn,2013-04,2026
http://datadock.io/kal/data/id/resource/library/Denton Burn,2013-05,2205
http://datadock.io/kal/data/id/resource/library/Denton Burn,2013-06,1685
http://datadock.io/kal/data/id/resource/library/Denton Burn,2013-07,967
http://datadock.io/kal/data/id/resource/library/Denton Burn,2013-08,939
http://datadock.io/kal/data/id/resource/library/Denton Burn,2013-09,1015
http://datadock.io/kal/data/id/resource/library/Denton Burn,2013-10,963
http://datadock.io/kal/data/id/resource/library/Denton Burn,2013-11,889
http://datadock.io/kal/data/id/resource/library/Denton Burn,2013-12,770
http://datadock.io/kal/data/id/resource/library/Denton Burn,2014-01,1001
http://datadock.io/kal/data/id/resource/library/Denton Burn,2014-02,872
http://datadock.io/kal/data/id/resource/library/Denton Burn,2014-03,890
http://datadock.io/kal/data/id/resource/library/Denton Burn,2014-04,716
http://datadock.io/kal/data/id/resource/library/Denton Burn,2014-05,698
http://datadock.io/kal/data/id/resource/library/Denton Burn,2014-06,879
http://datadock.io/kal/data/id/resource/library/Denton Burn,2014-07,797
http://datadock.io/kal/data/id/resource/library/Denton Burn,2014-08,731
http://datadock.io/kal/data/id/resource/library/Denton Burn,2014-09,957
http://datadock.io/kal/data/id/resource/library/Denton Burn,2014-10,100
http://datadock.io/kal/data/id/resource/library/Denton Burn,2015-03,7
http://datadock.io/kal/data/id/resource/library/Denton Burn,2015-04,93
http://datadock.io/kal/data/id/resource/library/Denton Burn,2015-05,431
http://datadock.io/kal/data/id/resource/library/Denton Burn,2015-06,713
http://datadock.io/kal/data/id/resource/library/Denton Burn,2015-07,750
http://datadock.io/kal/data/id/resource/library/Denton Burn,2015-08,857
http://datadock.io/kal/data/id/resource/library/Denton Burn,2015-09,691
http://datadock.io/kal/data/id/resource/library/Denton Burn,2015-10,755
http://datadock.io/kal/data/id/resource/library/Denton Burn,2015-11,628
