Library,month,enquiries
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2011-03,1569
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2011-04,1259
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2011-05,1224
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2011-06,1062
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2011-07,1183
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2011-08,1236
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2011-09,1364
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2011-10,1160
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2011-11,1014
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2011-12,887
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2012-01,1093
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2012-02,998
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2012-03,1227
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2012-04,1257
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2012-05,1267
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2012-06,859
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2012-07,1136
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2012-08,889
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2012-09,866
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2012-10,1022
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2012-11,1024
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2012-12,749
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2013-01,1009
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2013-02,795
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2013-03,829
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2013-04,971
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2013-05,998
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2013-06,382
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2014-04,0
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2014-05,0
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2014-06,411
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2014-07,905
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2014-08,803
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2014-09,985
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2014-10,987
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2014-11,987
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2014-12,771
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2015-01,1332
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2015-02,1276
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2015-03,1131
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2015-04,1169
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2015-05,1175
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2015-06,1335
http://datadock.io/kal/data/id/resource/library/Cruddas Park,2015-07,1411
